Trial_Id,Acronym,Sponsor,Hospital,Ciudad
315,MK-4830-001,Merck Sharp & Dohme Corp.,Hospital Universitario Hm Sanchinarro,Madrid
300,Replay,Grupo Español De Cáncer De Pulmón,Hospital de La Santa Creu i Sant Pau,Barcelona
0,NeoADAURA,Astrazeneca,Hospital Clinic de Barcelona,Barcelona
0,TROPION-Lung05,Astrazeneca,Hospital General Universitario de Alicante,Alicante
252,CB103-C-101,Cellestia Biotech Ag,Hospital Universitario Y Politecnico La Fe,València
1830,EZH-108,"Epizyme, Inc.",Hospital Universitari Vall D'Hebron,Barcelona
908,ZEAL-1L,Glaxosmithkline,ICO (Institut Catala D'Oncologia) - Hospital Josep Trueta,Girona
308,CNZV930X2101,Novartis Pharmaceuticals,Hospital General Universitario Gregorio Marañon,Madrid
685,AcceleRET-Lung,Hoffmann-La Roche,Hospital Universitario Marques de Valdecilla,Santander
328,ALTA-3,Takeda,Hospital Universitario Virgen Macarena,Sevilla
300,Replay,Grupo Español De Cáncer De Pulmón,Hospital de Sabadell - Parc Taulí,Sabadell
0,TROPION-Lung05,Astrazeneca,Hospital General Universitario de Alicante,Alicante
1536,BIMES,Grupo Español De Cáncer De Pulmón,Hospital Universitario Regional de Malaga,Málaga
0,NeoADAURA,Astrazeneca,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
0,SAVANNAH,Astrazeneca,Hospital Universitario La Paz,Madrid
1865,ACT16849,Sanofi,Hospital Universitari Vall D'Hebron,Barcelona
172,XL184-021,Exelixis,Hospital Universitario de Jerez de La Frontera,Jerez de la Frontera
0,SAVANNAH,Astrazeneca,Hospital Universitario Donostia,Donostia-San Sebastián
168,IMbrella A,Hoffmann-La Roche,Hospital Clinico Universitario de Valencia,València
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Hospital Universitario Virgen Macarena,Sevilla
1035,GCT1042-01,Genmab,Hospital Universitario Fundacion Jimenez Diaz,Madrid
0,GO42501,Hoffmann-La Roche,Complexo Hospitalario Universitario A Coruña,A Coruña
916,Neo-DIANA,Grupo Español De Cáncer De Pulmón,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
172,XL184-021,Exelixis,Hospital Universitario Ramon Y Cajal,Madrid
1019,ACROPOLI,Solti Breast Cancer Research Group,Hospital Universitario 12 de Octubre,Madrid
569,ADP-0055-001,Adaptimmune,Clinica Universidad de Navarra,Madrid
0,SKYSCRAPER-03,Hoffmann-La Roche,Complexo Hospitalario Universitario A Coruña,A Coruña
1882,TED13751,Sanofi,Hospital Universitario Fundacion Jimenez Diaz,Madrid
1032,CDKY709A12101C,Novartis Pharmaceuticals,Hospital Universitari Vall D'Hebron,Barcelona
175,B-FAST,Hoffmann-La Roche,Complexo Hospitalario Universitario de Santiago,Santiago de Compostela
971,TROPION-Lung02,Astrazeneca,Hospital Universitario Fundacion Jimenez Diaz,Madrid
172,XL184-021,Exelixis,Hospital Universitario 12 de Octubre,Madrid
1019,ACROPOLI,Solti Breast Cancer Research Group,Hospital Universitario Fundacion Jimenez Diaz,Madrid
1531,MARIPOSA-2,Janssen,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Hospital Universitario 12 de Octubre,Madrid
0,NP41300,Hoffmann-La Roche,Hospital Universitari Vall D'Hebron,Barcelona
1865,ACT16849,Sanofi,Hospital Universitari Vall D'Hebron,Barcelona
423,SAVANNAH,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
172,XL184-021,Exelixis,Hospital Universitario de Canarias,San Cristóbal de La Laguna
816,SKYSCRAPER-03,Hoffmann-La Roche,Hospital Universitari Vall D'Hebron,Barcelona
915,NADIM-ADJUVANT,Grupo Español De Cáncer De Pulmón,Hospital Universitario de Jaen,Jaén
172,XL184-021,Exelixis,Hospital Universitario 12 de Octubre,Madrid
0,NP41300,Hoffmann-La Roche,Clinica Universidad de Navarra,Pamplona
0,BP41628,Hoffmann-La Roche,Clinica Universidad de Navarra,Pamplona
1019,ACROPOLI,Solti Breast Cancer Research Group,Fundacion Instituto Valenciano de Oncologia,València
1109,Sotorasib,Amgen,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
755,LUPER,Medsir,Hospital Universitario Hm Sanchinarro,Madrid
1107,LIBRETTO-432,"Loxo Oncology, Inc.",Complexo Hospitalario Universitario de Ourense,Ourense
945,1948-CL-0101,Astellas,Hospital Universitari Arnau de Vilanova de Lleida,Lleida
377,NP40435,Hoffmann-La Roche,Hospital Universitario Fundacion Jimenez Diaz,Madrid
671,LIBRETTO-431,"Loxo Oncology, Inc.",Hospital Universitario Virgen Macarena,Sevilla
0,STARTRK-2,Hoffmann-La Roche,Hospital Universitario 12 de Octubre,Madrid
98,AMBER,"Tesaro, Inc.",Complejo Hospitalario Universitario Insular de Gran Canaria,Las Palmas de Gran Canaria
511,INSIGHT 2,"Emd Serono Research & Development Institute, Inc.",Hospital Universitario Quironsalud Madrid,Pozuelo de Alarcón
908,ZEAL-1L,Glaxosmithkline,Hospital Universitario Regional de Malaga,Málaga
698,ABC-lung,European Thoracic Oncology Platform,Complexo Hospitalario Universitario A Coruña,A Coruña
58,CHRYSALIS,Janssen,Complexo Hospitalario Universitario A Coruña,A Coruña
915,NADIM-ADJUVANT,Grupo Español De Cáncer De Pulmón,Hospital Universitari Vall D'Hebron,Barcelona
591,RAGNAR,Janssen,Hospital Universitario Fundacion Jimenez Diaz,Madrid
154,TRIDENT-1,"Turning Point Therapeutics, Inc.",Hospital Universitario 12 de Octubre,Madrid
945,1948-CL-0101,Astellas,Hospital Universitari Vall D'Hebron,Barcelona
286,GECP17/04_THOMAS,Grupo Español De Cáncer De Pulmón,Complexo Hospitalario Universitario de Lugo,Lugo
227,Morpheus Lung,Hoffmann-La Roche,Hospital Universitario Hm Sanchinarro,Madrid
172,XL184-021,Exelixis,Hospital Universitario Clinico San Carlos,Madrid
928,U31402-A-U201,"Daiichi Sankyo, Inc.",,
485,M19-037,Abbvie,Hospital Universitari Vall D'Hebron,Barcelona
172,XL184-021,Exelixis,Hospital Universitario de Canarias,San Cristóbal de La Laguna
166,PROPEL,Nektar Therapeutics,Hospital de La Santa Creu i Sant Pau,Barcelona
0,NP40435,Hoffmann-La Roche,Hospital Clinico Universitario de Valencia,València
172,XL184-021,Exelixis,Hospital de Sabadell - Parc Taulí,Sabadell
0,IMbrella A,Hoffmann-La Roche,Hospital Universitario Clinico San Carlos,Madrid
0,TROPION-LUNG01,Astrazeneca,Consorcio Hospital General Universitario de Valencia,València
296,LAURA,Astrazeneca,Hospital Universitario Y Politecnico La Fe,València
0,TAZMAN,Astrazeneca,Hospital del Mar,Barcelona
0,MAGELLAN,Astrazeneca,Hospital Universitario 12 de Octubre,Madrid
971,TROPION-Lung02,Astrazeneca,Hospital Universitario Hm Sanchinarro,Madrid
175,B-FAST,Hoffmann-La Roche,Hospital Universitario Ramon Y Cajal,Madrid
734,SKYSCRAPER-01,Hoffmann-La Roche,Hospital Universitario 12 de Octubre,Madrid
0,NP40435,Hoffmann-La Roche,Hospital Universitario Ramon Y Cajal,Madrid
511,INSIGHT 2,"Emd Serono Research & Development Institute, Inc.",Complejo Hospitalario Universitario Insular de Gran Canaria,Las Palmas de Gran Canaria
739,CodeBreak-200,Amgen,Hospital Universitari Vall D'Hebron,Barcelona
865,TROPION-Lung05,Astrazeneca,Complexo Hospitalario Universitario de Santiago,Santiago de Compostela
499,GCT1046-01,Genmab,Clinica Universidad de Navarra,Madrid
811,D9950C00001,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
0,SAVANNAH,Astrazeneca,Hospital Universitario 12 de Octubre,Madrid
0,MAGELLAN,Astrazeneca,Hospital del Mar,Barcelona
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Consorcio Hospital General Universitario de Valencia,València
485,M19-037,Abbvie,Hospital Universitario Fundacion Jimenez Diaz,Madrid
762,SGNB6A-001,Seagen Inc.,Hospital Universitario Hm Sanchinarro,Madrid
553,Chemoprotection,"Aileron Therapeutics, Inc.",Hospital Universitario 12 de Octubre,Madrid
0,IMbrella A,Hoffmann-La Roche,Hospital Lluis Alcanyis de Xativa,Xàtiva
588,CR108656,Janssen,Hospital Universitario Ramon Y Cajal,Madrid
465,MS200647_0005,"Emd Serono Research & Development Institute, Inc.",Hospital Clinico Universitario de Valencia,València
1514,MK-3475-A86,Merck Sharp & Dohme Corp.,Hospital Universitario La Paz,Madrid
125,CLXH254X2102,Novartis Pharmaceuticals,Hospital Universitario Virgen del Rocio,Sevilla
934,TROPION-LUNG01,Astrazeneca,Hospital Universitario 12 de Octubre,Madrid
423,SAVANNAH,Astrazeneca,Hospital Universitario La Paz,Madrid
172,XL184-021,Exelixis,Hospital Universitario Ramon Y Cajal,Madrid
1019,ACROPOLI,Solti Breast Cancer Research Group,Hospital Universitari de Sant Joan de Reus,Reus
321,GCT1029-01,Genmab,Hospital Universitari Vall D'Hebron,Barcelona
0,NP40435,Hoffmann-La Roche,Hospital Universitario Ramon Y Cajal,Madrid
0,IMbrella A,Hoffmann-La Roche,Hospital General Universitario Gregorio Marañon,Madrid
499,GCT1046-01,Genmab,Hospital Universitario de La Princesa,Madrid
1830,EZH-108,"Epizyme, Inc.",Fundacion Onkologikoa Fundazioa,Donostia-San Sebastián
0,CONTACT-01,Hoffmann-La Roche,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
451,FIGHT-207,Incyte Corporation,Hospital Universitario Regional de Malaga,Málaga
19,SUMMIT,"Puma Biotechnology, Inc.",Hospital Clinico Universitario de Valencia,València
423,SAVANNAH,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
286,GECP17/04_THOMAS,Grupo Español De Cáncer De Pulmón,Hospital Virgen de Los Lirios,Alcoy
19,SUMMIT,"Puma Biotechnology, Inc.",Hospital Universitario Quironsalud Madrid,Pozuelo de Alarcón
92,GO30103,,Hospital General Universitario de Alicante,Alicante
639,CARMEN-LC03,Sanofi,Hospital Universitario Y Politecnico La Fe,València
227,Morpheus Lung,Hoffmann-La Roche,Clinica Universidad de Navarra,Pamplona
0,LAURA,Astrazeneca,Hospital Universitario La Paz,Madrid
934,TROPION-LUNG01,Astrazeneca,Hospital Clinic de Barcelona,Barcelona
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Fundacion Instituto Valenciano de Oncologia,València
172,XL184-021,Exelixis,Hospital de Sabadell - Parc Taulí,Sabadell
169,BGB-290-103,Beigene,Hospital Universitari Vall D'Hebron,Barcelona
945,1948-CL-0101,Astellas,Hospital Universitari Vall D'Hebron,Barcelona
992,M20-111,Abbvie,Hospital Universitario Regional de Malaga,Málaga
0,SKYSCRAPER-03,Hoffmann-La Roche,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
1015,DDRiver SCLC 250,"Emd Serono Research & Development Institute, Inc.",Hospital Universitario La Paz,Madrid
345,TACTI-002,Immutep S.A.S.,Hospital Universitario Regional de Malaga,Málaga
861,GeoMETry-III,Novartis Pharmaceuticals,Hospital Universitario Regional de Malaga,Málaga
842,TAPISTRY,Hoffmann-La Roche,Hospital Universitari Vall D'Hebron,Barcelona
315,MK-4830-001,Merck Sharp & Dohme Corp.,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
353,rHuPH20,Bristol-Myers Squibb,Hospital General Universitario Gregorio Marañon,Madrid
745,CheckMate 76U,Bristol-Myers Squibb,Clinica Universidad de Navarra,Madrid
300,Replay,Grupo Español De Cáncer De Pulmón,Hospital de Leon - Complejo Asistencial Universitario de Leon,León
92,GO30103,,Clinica Universidad de Navarra,Pamplona
0,TROPION-LUNG01,Astrazeneca,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
1032,CDKY709A12101C,Novartis Pharmaceuticals,Hospital Universitari Vall D'Hebron,Barcelona
685,AcceleRET-Lung,Hoffmann-La Roche,Hospital Universitario Regional de Malaga,Málaga
0,TROPION-Lung02,Astrazeneca,Hospital Universitario Fundacion Jimenez Diaz,Madrid
0,TROPION-Lung05,Astrazeneca,Hospital Universitario 12 de Octubre,Madrid
1107,LIBRETTO-432,"Loxo Oncology, Inc.",Complexo Hospitalario Universitario de Vigo,Vigo
1865,ACT16849,Sanofi,Hospital Universitario La Paz,Madrid
520,CHESS,Astrazeneca,Hospital de La Santa Creu i Sant Pau,Barcelona
125,CLXH254X2102,Novartis Pharmaceuticals,Hospital Universitario Virgen del Rocio,Sevilla
172,XL184-021,Exelixis,Clinica Universidad de Navarra,Pamplona
1422,INCB 106385-102,Incyte Corporation,Hospital Universitari Vall D'Hebron,Barcelona
745,CheckMate 76U,Bristol-Myers Squibb,Clinica Universidad de Navarra,Madrid
502,KEYNOTE-867,Merck Sharp & Dohme Corp.,Hospital General Universitario Gregorio Marañon,Madrid
92,GO30103,,Hospital Universitario Clinico San Carlos,Madrid
886,ALKALINE,Eortc,Hospital de La Santa Creu i Sant Pau,Barcelona
0,SAVANNAH,Astrazeneca,Hospital Universitario Y Politecnico La Fe,València
556,CheckMate73L,Bristol-Myers Squibb,Complexo Hospitalario Universitario de Santiago,Santiago de Compostela
467,CC-90011-SCLC-001,Celgene,Hospital Universitario 12 de Octubre,Madrid
302,D7980C00001,Medimmune Llc,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
1531,MARIPOSA-2,Janssen,Hospital Universitario Virgen del Rocio,Sevilla
865,TROPION-Lung05,Astrazeneca,Hospital Clinic de Barcelona,Barcelona
671,LIBRETTO-431,"Loxo Oncology, Inc.",Hospital Universitario La Paz,Madrid
166,PROPEL,Nektar Therapeutics,Hospital Universitario Fundacion Jimenez Diaz,Madrid
0,B-FAST,Hoffmann-La Roche,Hospital Universitari Vall D'Hebron,Barcelona
511,INSIGHT 2,"Emd Serono Research & Development Institute, Inc.",Hospital Universitario Virgen Macarena,Sevilla
172,XL184-021,Exelixis,Hospital Universitario Regional de Malaga,Málaga
227,Morpheus Lung,Hoffmann-La Roche,Hospital Universitario La Paz,Madrid
0,COMPEL,Astrazeneca,Hospital Universitari Son Espases,Palma
1783,M16-074,Abbvie,Hospital Clinico Universitario de Valencia,València
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Hospital Universitario Regional de Malaga,Málaga
227,Morpheus Lung,Hoffmann-La Roche,Hospital Universitari Vall D'Hebron,Barcelona
0,IMbrella A,Hoffmann-La Roche,Hospital Universitario Reina Sofia,Córdoba
1107,LIBRETTO-432,"Loxo Oncology, Inc.",Instituto Oncológico Rosell,Barcelona
992,M20-111,Abbvie,Hospital Universitario Fundacion Jimenez Diaz,Madrid
532,MK-7902-008/E7080-G000-316/LEAP-008,Merck Sharp & Dohme Corp.,Complejo Hospitalario Universitario Insular de Gran Canaria,Las Palmas de Gran Canaria
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Fundacion Instituto Valenciano de Oncologia,València
847,SKYSCRAPER-06,Hoffmann-La Roche,Hospital Clinic de Barcelona,Barcelona
762,SGNB6A-001,Seagen Inc.,Hospital Universitario Hm Sanchinarro,Madrid
842,TAPISTRY,Hoffmann-La Roche,Clinica Universidad de Navarra,Madrid
886,ALKALINE,Eortc,Hospital Universitario 12 de Octubre,Madrid
446,MAGELLAN,Astrazeneca,Hospital Universitario Ramon Y Cajal,Madrid
63,MK-3475-158/KEYNOTE-158,Merck Sharp & Dohme Corp.,Hospital Universitari Vall D'Hebron,Barcelona
345,TACTI-002,Immutep S.A.S.,Hospital Universitari Vall D'Hebron,Barcelona
1019,ACROPOLI,Solti Breast Cancer Research Group,Hospital Universitario 12 de Octubre,Madrid
709,2SMALL,Fundacion Oncosur,Hospital Universitari Vall D'Hebron,Barcelona
945,1948-CL-0101,Astellas,Clinica Universidad de Navarra,Pamplona
494,SAPPHIRE,Mirati Therapeutics Inc.,Hospital Universitario de Jaen,Jaén
0,CONTACT-01,Hoffmann-La Roche,Hospital Universitario La Paz,Madrid
1536,BIMES,Grupo Español De Cáncer De Pulmón,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
628,NP41300,Hoffmann-La Roche,Hospital Universitario Fundacion Jimenez Diaz,Madrid
0,RAGNAR,Janssen,Hospital Clinic de Barcelona,Barcelona
0,Morpheus Lung,Hoffmann-La Roche,Hospital Universitario Fundacion Jimenez Diaz,Madrid
1018,AdvanTIG-302,Beigene,Instituto Oncológico Rosell,Barcelona
945,1948-CL-0101,Astellas,Hospital Clinic de Barcelona,Barcelona
0,AcceleRET-Lung,Hoffmann-La Roche,Hospital Universitario Hm Sanchinarro,Madrid
451,FIGHT-207,Incyte Corporation,Hospital Universitario Hm Sanchinarro,Madrid
0,NP40435,Hoffmann-La Roche,Hospital Universitari Vall D'Hebron,Barcelona
0,TROPION-Lung05,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
665,M19-611,Abbvie,Hospital Universitari Vall D'Hebron,Barcelona
971,TROPION-Lung02,Astrazeneca,Hospital Universitario 12 de Octubre,Madrid
125,CLXH254X2102,Novartis Pharmaceuticals,Hospital Universitario Ramon Y Cajal,Madrid
76,GARNET,"Tesaro, Inc.",ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
0,PAPILLON,Janssen,ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol,Badalona
620,TAK-788-3001,"Millennium Pharmaceuticals, Inc.",Hospital Universitario Regional de Malaga,Málaga
793,CONTACT-01,Hoffmann-La Roche,Complexo Hospitalario Universitario A Coruña,A Coruña
934,TROPION-LUNG01,Astrazeneca,Consorcio Hospital General Universitario de Valencia,València
175,B-FAST,Hoffmann-La Roche,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
945,1948-CL-0101,Astellas,Hospital Nuestra Señora de Sonsoles - Complejo Asistencial de Avila,Ávila
437,AEGEAN,Astrazeneca,Complexo Hospitalario Universitario de Santiago,Santiago de Compostela
565,SGN228-001,Seagen Inc.,Hospital Universitari Vall D'Hebron,Barcelona
908,ZEAL-1L,Glaxosmithkline,Hospital Clinico Universitario Lozano Blesa,Zaragoza
588,CR108656,Janssen,Hospital Universitario 12 de Octubre,Madrid
300,Replay,Grupo Español De Cáncer De Pulmón,Consorcio Hospital General Universitario de Valencia,València
92,GO30103,,Hospital Universitari Vall D'Hebron,Barcelona
300,Replay,Grupo Español De Cáncer De Pulmón,Hospital de Leon - Complejo Asistencial Universitario de Leon,León
1035,GCT1042-01,Genmab,Hospital Universitari Vall D'Hebron,Barcelona
58,CHRYSALIS,Janssen,Hospital Universitario Regional de Malaga,Málaga
92,GO30103,,Clinica Universidad de Navarra,Pamplona
0,STARTRK-2,Hoffmann-La Roche,Hospital Universitario Hm Sanchinarro,Madrid
227,Morpheus Lung,Hoffmann-La Roche,Hospital Universitario Regional de Malaga,Málaga
1865,ACT16849,Sanofi,Hospital Universitario 12 de Octubre,Madrid
863,PYRAMID-1,Jiangsu Hengrui,Hospital Universitari Vall D'Hebron,Barcelona
446,MAGELLAN,Astrazeneca,Hospital de La Santa Creu i Sant Pau,Barcelona
263,Canopy-A,Novartis Pharmaceuticals,ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol,Badalona
861,GeoMETry-III,Novartis Pharmaceuticals,Hospital Universitario Y Politecnico La Fe,València
0,CHRYSALIS,Janssen,Hospital Universitario Fundacion Jimenez Diaz,Madrid
745,CheckMate 76U,Bristol-Myers Squibb,Clinica Universidad de Navarra,Pamplona
345,TACTI-002,Immutep S.A.S.,Hospital Universitario Fundacion Jimenez Diaz,Madrid
0,TROPION-Lung02,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
1008,GO42501,Hoffmann-La Roche,Hospital Universitario 12 de Octubre,Madrid
168,IMbrella A,Hoffmann-La Roche,Hospital Universitario La Paz,Madrid
628,NP41300,Hoffmann-La Roche,Clinica Universidad de Navarra,Madrid
556,CheckMate73L,Bristol-Myers Squibb,Hospital Clinico Universitario Lozano Blesa,Zaragoza
168,IMbrella A,Hoffmann-La Roche,Hospital General Universitario Gregorio Marañon,Madrid
671,LIBRETTO-431,"Loxo Oncology, Inc.",Hospital Son Llatzer,Palma
300,Replay,Grupo Español De Cáncer De Pulmón,ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol,Badalona
1508,D9570C00001,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
172,XL184-021,Exelixis,Clinica Universidad de Navarra,Pamplona
0,STARTRK-2,Hoffmann-La Roche,Hospital Universitario La Paz,Madrid
499,GCT1046-01,Genmab,Hospital Universitario Regional de Malaga,Málaga
252,CB103-C-101,Cellestia Biotech Ag,Hospital Universitario Ramon Y Cajal,Madrid
0,ALINA,Hoffmann-La Roche,Hospital Universitario Donostia,Donostia-San Sebastián
0,NP41300,Hoffmann-La Roche,Hospital del Mar,Barcelona
293,MK-3475-495/KEYNOTE-495,Merck Sharp & Dohme Corp.,Hospital Universitario 12 de Octubre,Madrid
0,MAGELLAN,Astrazeneca,Hospital Universitario Ramon Y Cajal,Madrid
1035,GCT1042-01,Genmab,Clinica Universidad de Navarra,Pamplona
19,SUMMIT,"Puma Biotechnology, Inc.",Hospital Universitario Fundacion Jimenez Diaz,Madrid
227,Morpheus Lung,Hoffmann-La Roche,Hospital Universitario La Paz,Madrid
0,B-FAST,Hoffmann-La Roche,Hospital Universitario Virgen del Rocio,Sevilla
0,NP41300,Hoffmann-La Roche,Hospital Universitario Hm Sanchinarro,Madrid
1574,GCT1046-04,Genmab,Hospital Universitario Regional de Malaga,Málaga
647,MK-3475-01C/KEYMAKER-U01C,Merck Sharp & Dohme Corp.,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
0,NeoADAURA,Astrazeneca,Hospital Clinic de Barcelona,Barcelona
497,PHAROS,Pfizer,Hospital Universitario Reina Sofia,Córdoba
754,CC-90011-ST-002,Celgene,Clinica Universidad de Navarra,Pamplona
686,CUBIK,Grupo Español De Cáncer De Pulmón,Hospital Universitario Cruces,Barakaldo
1107,LIBRETTO-432,"Loxo Oncology, Inc.",Hospital Universitario Y Politecnico La Fe,València
0,MERMAID-1,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
620,TAK-788-3001,"Millennium Pharmaceuticals, Inc.",Hospital Universitario 12 de Octubre,Madrid
532,MK-7902-008/E7080-G000-316/LEAP-008,Merck Sharp & Dohme Corp.,Hospital Universitari Vall D'Hebron,Barcelona
172,XL184-021,Exelixis,Instituto Oncológico Rosell,Barcelona
811,D9950C00001,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
0,CONTACT-01,Hoffmann-La Roche,Hospital Universitario Virgen de Valme,Sevilla
1019,ACROPOLI,Solti Breast Cancer Research Group,ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol,Badalona
1107,LIBRETTO-432,"Loxo Oncology, Inc.",ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
685,AcceleRET-Lung,Hoffmann-La Roche,Hospital Universitari Vall D'Hebron,Barcelona
0,TROPION-Lung02,Astrazeneca,Hospital Universitario Fundacion Jimenez Diaz,Madrid
227,Morpheus Lung,Hoffmann-La Roche,Hospital Universitario Regional de Malaga,Málaga
0,TROPION-Lung05,Astrazeneca,Hospital Clinic de Barcelona,Barcelona
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Hospital Universitario 12 de Octubre,Madrid
0,SKYSCRAPER-01,Hoffmann-La Roche,ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol,Badalona
168,IMbrella A,Hoffmann-La Roche,Hospital Universitario Reina Sofia,Córdoba
882,CodeBreaK 100,Amgen,Hospital General Universitario Gregorio Marañon,Madrid
