trial_id,acronym,sponsor,hospital
916.0,Neo-DIANA,Grupo Español de Cáncer de Pulmón,"Complejo Hospitalario Universitario Insular de Gran Canaria, Las Palmas de Gran Canaria"
,NP41300,Hoffmann-La Roche,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
262.0,ALERT-lung,European Thoracic Oncology Platform,"Complexo Hospitalario Universitario A Coruña, A Coruña"
76.0,GARNET,"Tesaro, Inc.","Clinica Universidad De Navarra, Madrid"
315.0,MK-4830-001,Merck Sharp & Dohme Corp.,"Hospital Universitario Hm Sanchinarro, Madrid"
300.0,Replay,Grupo Español de Cáncer de Pulmón,"Hospital De La Santa Creu i Sant Pau, Barcelona"
,NeoADAURA,AstraZeneca,"Hospital Clinic De Barcelona, Barcelona"
,TROPION-Lung05,AstraZeneca,"Hospital General Universitario De Alicante, Alicante/Alacant"
252.0,CB103-C-101,Cellestia Biotech AG,"Hospital Universitario Y Politecnico La Fe, València"
1830.0,EZH-108,"Epizyme, Inc.","Hospital Universitari Vall D'Hebron, Barcelona"
908.0,ZEAL-1L,GlaxoSmithKline,"ICO (Institut Catala D'Oncologia) - Hospital Josep Trueta, Girona"
308.0,CNZV930X2101,Novartis Pharmaceuticals,"Hospital General Universitario Gregorio Marañon, Madrid"
685.0,AcceleRET-Lung,HOFFMANN-LA ROCHE,"Hospital Universitario Marques De Valdecilla, Santander"
328.0,ALTA-3,Takeda,"Hospital Universitario Virgen Macarena, Sevilla"
300.0,Replay,Grupo Español de Cáncer de Pulmón,"Hospital De Sabadell - Parc Taulí, Sabadell"
,TROPION-Lung05,AstraZeneca,"Hospital General Universitario De Alicante, Alicante/Alacant"
1536.0,BIMES,Grupo Español de Cáncer de Pulmón,"Hospital Universitario Regional De Malaga, Málaga"
,NeoADAURA,AstraZeneca,"Hospital Universitario Puerta De Hierro Majadahonda, Majadahonda"
,SAVANNAH,AstraZeneca,"Hospital Universitario La Paz, Madrid"
1865.0,ACT16849,Sanofi,"Hospital Universitari Vall D'Hebron, Barcelona"
172.0,XL184-021,Exelixis,"Hospital Universitario De Jerez De La Frontera, Jerez de la Frontera"
,SAVANNAH,AstraZeneca,"Hospital Universitario Donostia, Donostia-San Sebastián"
168.0,IMbrella A,HOFFMANN-LA ROCHE,"Hospital Clinico Universitario De Valencia, València"
184.0,CK-301-101,"Checkpoint Therapeutics, Inc.","Hospital Universitario Virgen Macarena, Sevilla"
1035.0,GCT1042-01,Genmab,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
,GO42501,Hoffmann-La Roche,"Complexo Hospitalario Universitario A Coruña, A Coruña"
916.0,Neo-DIANA,Grupo Español de Cáncer de Pulmón,"ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals, L' Hospitalet de Llobregat"
172.0,XL184-021,Exelixis,"Hospital Universitario Ramon Y Cajal, Madrid"
1019.0,ACROPOLI,SOLTI Breast Cancer Research Group,"Hospital Universitario 12 De Octubre, Madrid"
569.0,ADP-0055-001,Adaptimmune,"Clinica Universidad De Navarra, Madrid"
,SKYSCRAPER-03,Hoffmann-La Roche,"Complexo Hospitalario Universitario A Coruña, A Coruña"
1882.0,TED13751,Sanofi,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
1032.0,CDKY709A12101C,Novartis Pharmaceuticals,"Hospital Universitari Vall D'Hebron, Barcelona"
175.0,B-FAST,HOFFMANN-LA ROCHE,"Complexo Hospitalario Universitario De Santiago, Santiago de Compostela"
971.0,TROPION-Lung02,ASTRAZENECA,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
172.0,XL184-021,Exelixis,"Hospital Universitario 12 De Octubre, Madrid"
1019.0,ACROPOLI,SOLTI Breast Cancer Research Group,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
1531.0,MARIPOSA-2,JANSSEN,"Hospital Universitario Puerta De Hierro Majadahonda, Majadahonda"
184.0,CK-301-101,"Checkpoint Therapeutics, Inc.","Hospital Universitario 12 De Octubre, Madrid"
,NP41300,Hoffmann-La Roche,"Hospital Universitari Vall D'Hebron, Barcelona"
1865.0,ACT16849,Sanofi,"Hospital Universitari Vall D'Hebron, Barcelona"
423.0,SAVANNAH,ASTRAZENECA,"Hospital Universitario Regional De Malaga, Málaga"
172.0,XL184-021,Exelixis,"Hospital Universitario De Canarias, San Cristóbal de La Laguna"
816.0,SKYSCRAPER-03,HOFFMANN-LA ROCHE,"Hospital Universitari Vall D'Hebron, Barcelona"
915.0,NADIM-ADJUVANT,Grupo Español de Cáncer de Pulmón,"Hospital Universitario De Jaen, Jaén"
172.0,XL184-021,Exelixis,"Hospital Universitario 12 De Octubre, Madrid"
,NP41300,Hoffmann-La Roche,"Clinica Universidad De Navarra, Pamplona/Iruña"
,BP41628,Hoffmann-La Roche,"Clinica Universidad De Navarra, Pamplona/Iruña"
1019.0,ACROPOLI,SOLTI Breast Cancer Research Group,"Fundacion Instituto Valenciano De Oncologia, València"
1109.0,Sotorasib,Amgen,"Hospital Universitario Puerta De Hierro Majadahonda, Majadahonda"
755.0,LUPER,MedSIR,"Hospital Universitario Hm Sanchinarro, Madrid"
1107.0,LIBRETTO-432,"Loxo Oncology, Inc.","Complexo Hospitalario Universitario De Ourense, Ourense"
945.0,1948-CL-0101,Astellas,"Hospital Universitari Arnau De Vilanova De Lleida, Lleida"
377.0,NP40435,HOFFMANN-LA ROCHE,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
671.0,LIBRETTO-431,"Loxo Oncology, Inc.","Hospital Universitario Virgen Macarena, Sevilla"
,STARTRK-2,Hoffmann-La Roche,"Hospital Universitario 12 De Octubre, Madrid"
98.0,AMBER,"Tesaro, Inc.","Complejo Hospitalario Universitario Insular de Gran Canaria, Las Palmas de Gran Canaria"
511.0,INSIGHT 2,"EMD Serono Research & Development Institute, Inc.","Hospital Universitario Quironsalud Madrid, Pozuelo de Alarcón"
908.0,ZEAL-1L,GlaxoSmithKline,"Hospital Universitario Regional De Malaga, Málaga"
698.0,ABC-lung,European Thoracic Oncology Platform,"Complexo Hospitalario Universitario A Coruña, A Coruña"
58.0,CHRYSALIS,JANSSEN,"Complexo Hospitalario Universitario A Coruña, A Coruña"
915.0,NADIM-ADJUVANT,Grupo Español de Cáncer de Pulmón,"Hospital Universitari Vall D'Hebron, Barcelona"
591.0,RAGNAR,JANSSEN,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
154.0,TRIDENT-1,"Turning Point Therapeutics, Inc.","Hospital Universitario 12 De Octubre, Madrid"
945.0,1948-CL-0101,Astellas,"Hospital Universitari Vall D'Hebron, Barcelona"
286.0,GECP17/04_THOMAS,Grupo Español de Cáncer de Pulmón,"Complexo Hospitalario Universitario De Lugo, Lugo"
227.0,Morpheus Lung,HOFFMANN-LA ROCHE,"Hospital Universitario Hm Sanchinarro, Madrid"
172.0,XL184-021,Exelixis,"Hospital Universitario Clinico San Carlos, Madrid"
928.0,U31402-A-U201,"Daiichi Sankyo, Inc.",
485.0,M19-037,AbbVie,"Hospital Universitari Vall D'Hebron, Barcelona"
172.0,XL184-021,Exelixis,"Hospital Universitario De Canarias, San Cristóbal de La Laguna"
166.0,PROPEL,Nektar Therapeutics,"Hospital De La Santa Creu i Sant Pau, Barcelona"
,NP40435,Hoffmann-La Roche,"Hospital Clinico Universitario De Valencia, València"
172.0,XL184-021,Exelixis,"Hospital De Sabadell - Parc Taulí, Sabadell"
,IMbrella A,Hoffmann-La Roche,"Hospital Universitario Clinico San Carlos, Madrid"
,TROPION-LUNG01,AstraZeneca,"Consorcio Hospital General Universitario De Valencia, València"
296.0,LAURA,ASTRAZENECA,"Hospital Universitario Y Politecnico La Fe, València"
,TAZMAN,AstraZeneca,"Hospital Del Mar, Barcelona"
,MAGELLAN,AstraZeneca,"Hospital Universitario 12 De Octubre, Madrid"
971.0,TROPION-Lung02,ASTRAZENECA,"Hospital Universitario Hm Sanchinarro, Madrid"
175.0,B-FAST,HOFFMANN-LA ROCHE,"Hospital Universitario Ramon Y Cajal, Madrid"
734.0,SKYSCRAPER-01,HOFFMANN-LA ROCHE,"Hospital Universitario 12 De Octubre, Madrid"
,NP40435,Hoffmann-La Roche,"Hospital Universitario Ramon Y Cajal, Madrid"
511.0,INSIGHT 2,"EMD Serono Research & Development Institute, Inc.","Complejo Hospitalario Universitario Insular de Gran Canaria, Las Palmas de Gran Canaria"
739.0,CodeBreak-200,Amgen,"Hospital Universitari Vall D'Hebron, Barcelona"
865.0,TROPION-Lung05,ASTRAZENECA,"Complexo Hospitalario Universitario De Santiago, Santiago de Compostela"
499.0,GCT1046-01,Genmab,"Clinica Universidad De Navarra, Madrid"
811.0,D9950C00001,ASTRAZENECA,"Hospital Universitari Vall D'Hebron, Barcelona"
,SAVANNAH,AstraZeneca,"Hospital Universitario 12 De Octubre, Madrid"
,MAGELLAN,AstraZeneca,"Hospital Del Mar, Barcelona"
184.0,CK-301-101,"Checkpoint Therapeutics, Inc.","Consorcio Hospital General Universitario De Valencia, València"
485.0,M19-037,AbbVie,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
762.0,SGNB6A-001,Seagen Inc.,"Hospital Universitario Hm Sanchinarro, Madrid"
553.0,Chemoprotection,"Aileron Therapeutics, Inc.","Hospital Universitario 12 De Octubre, Madrid"
,IMbrella A,Hoffmann-La Roche,"Hospital Lluis Alcanyis De Xativa, Xàtiva"
588.0,CR108656,JANSSEN,"Hospital Universitario Ramon Y Cajal, Madrid"
465.0,MS200647_0005,"EMD Serono Research & Development Institute, Inc.","Hospital Clinico Universitario De Valencia, València"
1514.0,MK-3475-A86,Merck Sharp & Dohme Corp.,"Hospital Universitario La Paz, Madrid"
125.0,CLXH254X2102,Novartis Pharmaceuticals,"Hospital Universitario Virgen Del Rocio, Sevilla"
934.0,TROPION-LUNG01,ASTRAZENECA,"Hospital Universitario 12 De Octubre, Madrid"
423.0,SAVANNAH,ASTRAZENECA,"Hospital Universitario La Paz, Madrid"
172.0,XL184-021,Exelixis,"Hospital Universitario Ramon Y Cajal, Madrid"
1019.0,ACROPOLI,SOLTI Breast Cancer Research Group,"Hospital Universitari De Sant Joan De Reus, Reus"
321.0,GCT1029-01,Genmab,"Hospital Universitari Vall D'Hebron, Barcelona"
,NP40435,Hoffmann-La Roche,"Hospital Universitario Ramon Y Cajal, Madrid"
,IMbrella A,Hoffmann-La Roche,"Hospital General Universitario Gregorio Marañon, Madrid"
499.0,GCT1046-01,Genmab,"Hospital Universitario De La Princesa, Madrid"
1830.0,EZH-108,"Epizyme, Inc.","Fundacion Onkologikoa Fundazioa, Donostia-San Sebastián"
,CONTACT-01,Hoffmann-La Roche,"ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals, L' Hospitalet de Llobregat"
451.0,FIGHT-207,Incyte Corporation,"Hospital Universitario Regional De Malaga, Málaga"
19.0,SUMMIT,"Puma Biotechnology, Inc.","Hospital Clinico Universitario De Valencia, València"
423.0,SAVANNAH,ASTRAZENECA,"Hospital Universitario Regional De Malaga, Málaga"
286.0,GECP17/04_THOMAS,Grupo Español de Cáncer de Pulmón,"Hospital Virgen De Los Lirios, Alcoy/Alcoi"
19.0,SUMMIT,"Puma Biotechnology, Inc.","Hospital Universitario Quironsalud Madrid, Pozuelo de Alarcón"
92.0,GO30103,,"Hospital General Universitario De Alicante, Alicante/Alacant"
639.0,CARMEN-LC03,Sanofi,"Hospital Universitario Y Politecnico La Fe, València"
227.0,Morpheus Lung,HOFFMANN-LA ROCHE,"Clinica Universidad De Navarra, Pamplona/Iruña"
,LAURA,AstraZeneca,"Hospital Universitario La Paz, Madrid"
934.0,TROPION-LUNG01,ASTRAZENECA,"Hospital Clinic De Barcelona, Barcelona"
184.0,CK-301-101,"Checkpoint Therapeutics, Inc.","Fundacion Instituto Valenciano De Oncologia, València"
172.0,XL184-021,Exelixis,"Hospital De Sabadell - Parc Taulí, Sabadell"
169.0,BGB-290-103,BeiGene,"Hospital Universitari Vall D'Hebron, Barcelona"
945.0,1948-CL-0101,Astellas,"Hospital Universitari Vall D'Hebron, Barcelona"
992.0,M20-111,AbbVie,"Hospital Universitario Regional De Malaga, Málaga"
,SKYSCRAPER-03,Hoffmann-La Roche,"Hospital Universitario Puerta De Hierro Majadahonda, Majadahonda"
1015.0,DDRiver SCLC 250,"EMD Serono Research & Development Institute, Inc.","Hospital Universitario La Paz, Madrid"
345.0,TACTI-002,Immutep S.A.S.,"Hospital Universitario Regional De Malaga, Málaga"
861.0,GeoMETry-III,Novartis Pharmaceuticals,"Hospital Universitario Regional De Malaga, Málaga"
842.0,TAPISTRY,HOFFMANN-LA ROCHE,"Hospital Universitari Vall D'Hebron, Barcelona"
315.0,MK-4830-001,Merck Sharp & Dohme Corp.,"ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals, L' Hospitalet de Llobregat"
353.0,rHuPH20,Bristol-Myers Squibb,"Hospital General Universitario Gregorio Marañon, Madrid"
745.0,CheckMate 76U,Bristol-Myers Squibb,"Clinica Universidad De Navarra, Madrid"
300.0,Replay,Grupo Español de Cáncer de Pulmón,"Hospital De Leon - Complejo Asistencial Universitario De Leon, León"
92.0,GO30103,,"Clinica Universidad De Navarra, Pamplona/Iruña"
,TROPION-LUNG01,AstraZeneca,"Hospital Universitario Puerta De Hierro Majadahonda, Majadahonda"
1032.0,CDKY709A12101C,Novartis Pharmaceuticals,"Hospital Universitari Vall D'Hebron, Barcelona"
685.0,AcceleRET-Lung,HOFFMANN-LA ROCHE,"Hospital Universitario Regional De Malaga, Málaga"
,TROPION-Lung02,AstraZeneca,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
,TROPION-Lung05,AstraZeneca,"Hospital Universitario 12 De Octubre, Madrid"
1107.0,LIBRETTO-432,"Loxo Oncology, Inc.","Complexo Hospitalario Universitario De Vigo, Vigo"
1865.0,ACT16849,Sanofi,"Hospital Universitario La Paz, Madrid"
520.0,CHESS,ASTRAZENECA,"Hospital De La Santa Creu i Sant Pau, Barcelona"
125.0,CLXH254X2102,Novartis Pharmaceuticals,"Hospital Universitario Virgen Del Rocio, Sevilla"
172.0,XL184-021,Exelixis,"Clinica Universidad De Navarra, Pamplona/Iruña"
1422.0,INCB 106385-102,Incyte Corporation,"Hospital Universitari Vall D'Hebron, Barcelona"
745.0,CheckMate 76U,Bristol-Myers Squibb,"Clinica Universidad De Navarra, Madrid"
502.0,KEYNOTE-867,Merck Sharp & Dohme Corp.,"Hospital General Universitario Gregorio Marañon, Madrid"
92.0,GO30103,,"Hospital Universitario Clinico San Carlos, Madrid"
886.0,ALKALINE,EORTC,"Hospital De La Santa Creu i Sant Pau, Barcelona"
,SAVANNAH,AstraZeneca,"Hospital Universitario Y Politecnico La Fe, València"
556.0,CheckMate73L,Bristol-Myers Squibb,"Complexo Hospitalario Universitario De Santiago, Santiago de Compostela"
467.0,CC-90011-SCLC-001,Celgene,"Hospital Universitario 12 De Octubre, Madrid"
302.0,D7980C00001,MedImmune LLC,"Hospital Universitario Puerta De Hierro Majadahonda, Majadahonda"
1531.0,MARIPOSA-2,JANSSEN,"Hospital Universitario Virgen Del Rocio, Sevilla"
865.0,TROPION-Lung05,ASTRAZENECA,"Hospital Clinic De Barcelona, Barcelona"
671.0,LIBRETTO-431,"Loxo Oncology, Inc.","Hospital Universitario La Paz, Madrid"
166.0,PROPEL,Nektar Therapeutics,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
,B-FAST,Hoffmann-La Roche,"Hospital Universitari Vall D'Hebron, Barcelona"
511.0,INSIGHT 2,"EMD Serono Research & Development Institute, Inc.","Hospital Universitario Virgen Macarena, Sevilla"
172.0,XL184-021,Exelixis,"Hospital Universitario Regional De Malaga, Málaga"
227.0,Morpheus Lung,HOFFMANN-LA ROCHE,"Hospital Universitario La Paz, Madrid"
,COMPEL,AstraZeneca,"Hospital Universitari Son Espases, Palma"
1783.0,M16-074,AbbVie,"Hospital Clinico Universitario De Valencia, València"
184.0,CK-301-101,"Checkpoint Therapeutics, Inc.","Hospital Universitario Regional De Malaga, Málaga"
227.0,Morpheus Lung,HOFFMANN-LA ROCHE,"Hospital Universitari Vall D'Hebron, Barcelona"
,IMbrella A,Hoffmann-La Roche,"Hospital Universitario Reina Sofia, Córdoba"
1107.0,LIBRETTO-432,"Loxo Oncology, Inc.","Instituto Oncológico Rosell, Barcelona"
992.0,M20-111,AbbVie,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
532.0,MK-7902-008/E7080-G000-316/LEAP-008,Merck Sharp & Dohme Corp.,"Complejo Hospitalario Universitario Insular de Gran Canaria, Las Palmas de Gran Canaria"
184.0,CK-301-101,"Checkpoint Therapeutics, Inc.","Fundacion Instituto Valenciano De Oncologia, València"
847.0,SKYSCRAPER-06,HOFFMANN-LA ROCHE,"Hospital Clinic De Barcelona, Barcelona"
762.0,SGNB6A-001,Seagen Inc.,"Hospital Universitario Hm Sanchinarro, Madrid"
842.0,TAPISTRY,HOFFMANN-LA ROCHE,"Clinica Universidad De Navarra, Madrid"
886.0,ALKALINE,EORTC,"Hospital Universitario 12 De Octubre, Madrid"
446.0,MAGELLAN,ASTRAZENECA,"Hospital Universitario Ramon Y Cajal, Madrid"
63.0,MK-3475-158/KEYNOTE-158,Merck Sharp & Dohme Corp.,"Hospital Universitari Vall D'Hebron, Barcelona"
345.0,TACTI-002,Immutep S.A.S.,"Hospital Universitari Vall D'Hebron, Barcelona"
1019.0,ACROPOLI,SOLTI Breast Cancer Research Group,"Hospital Universitario 12 De Octubre, Madrid"
709.0,2SMALL,Fundacion Oncosur,"Hospital Universitari Vall D'Hebron, Barcelona"
945.0,1948-CL-0101,Astellas,"Clinica Universidad De Navarra, Pamplona/Iruña"
494.0,SAPPHIRE,Mirati Therapeutics Inc.,"Hospital Universitario De Jaen, Jaén"
,CONTACT-01,Hoffmann-La Roche,"Hospital Universitario La Paz, Madrid"
1536.0,BIMES,Grupo Español de Cáncer de Pulmón,"ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals, L' Hospitalet de Llobregat"
628.0,NP41300,HOFFMANN-LA ROCHE,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
,RAGNAR,Janssen,"Hospital Clinic De Barcelona, Barcelona"
,Morpheus Lung,Hoffmann-La Roche,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
1018.0,AdvanTIG-302,BeiGene,"Instituto Oncológico Rosell, Barcelona"
945.0,1948-CL-0101,Astellas,"Hospital Clinic De Barcelona, Barcelona"
,AcceleRET-Lung,Hoffmann-La Roche,"Hospital Universitario Hm Sanchinarro, Madrid"
451.0,FIGHT-207,Incyte Corporation,"Hospital Universitario Hm Sanchinarro, Madrid"
,NP40435,Hoffmann-La Roche,"Hospital Universitari Vall D'Hebron, Barcelona"
,TROPION-Lung05,AstraZeneca,"Hospital Universitario Regional De Malaga, Málaga"
665.0,M19-611,AbbVie,"Hospital Universitari Vall D'Hebron, Barcelona"
971.0,TROPION-Lung02,ASTRAZENECA,"Hospital Universitario 12 De Octubre, Madrid"
125.0,CLXH254X2102,Novartis Pharmaceuticals,"Hospital Universitario Ramon Y Cajal, Madrid"
76.0,GARNET,"Tesaro, Inc.","ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals, L' Hospitalet de Llobregat"
,PAPILLON,Janssen,"ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol, Badalona"
620.0,TAK-788-3001,"Millennium Pharmaceuticals, Inc.","Hospital Universitario Regional De Malaga, Málaga"
793.0,CONTACT-01,HOFFMANN-LA ROCHE,"Complexo Hospitalario Universitario A Coruña, A Coruña"
934.0,TROPION-LUNG01,ASTRAZENECA,"Consorcio Hospital General Universitario De Valencia, València"
175.0,B-FAST,HOFFMANN-LA ROCHE,"ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals, L' Hospitalet de Llobregat"
945.0,1948-CL-0101,Astellas,"Hospital Nuestra Señora De Sonsoles - Complejo Asistencial De Avila, Ávila"
437.0,AEGEAN,ASTRAZENECA,"Complexo Hospitalario Universitario De Santiago, Santiago de Compostela"
565.0,SGN228-001,Seagen Inc.,"Hospital Universitari Vall D'Hebron, Barcelona"
908.0,ZEAL-1L,GlaxoSmithKline,"Hospital Clinico Universitario Lozano Blesa, Zaragoza"
588.0,CR108656,JANSSEN,"Hospital Universitario 12 De Octubre, Madrid"
300.0,Replay,Grupo Español de Cáncer de Pulmón,"Consorcio Hospital General Universitario De Valencia, València"
92.0,GO30103,,"Hospital Universitari Vall D'Hebron, Barcelona"
300.0,Replay,Grupo Español de Cáncer de Pulmón,"Hospital De Leon - Complejo Asistencial Universitario De Leon, León"
1035.0,GCT1042-01,Genmab,"Hospital Universitari Vall D'Hebron, Barcelona"
58.0,CHRYSALIS,JANSSEN,"Hospital Universitario Regional De Malaga, Málaga"
92.0,GO30103,,"Clinica Universidad De Navarra, Pamplona/Iruña"
,STARTRK-2,Hoffmann-La Roche,"Hospital Universitario Hm Sanchinarro, Madrid"
227.0,Morpheus Lung,HOFFMANN-LA ROCHE,"Hospital Universitario Regional De Malaga, Málaga"
1865.0,ACT16849,Sanofi,"Hospital Universitario 12 De Octubre, Madrid"
863.0,PYRAMID-1,Jiangsu HengRui,"Hospital Universitari Vall D'Hebron, Barcelona"
446.0,MAGELLAN,ASTRAZENECA,"Hospital De La Santa Creu i Sant Pau, Barcelona"
263.0,Canopy-A,Novartis Pharmaceuticals,"ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol, Badalona"
861.0,GeoMETry-III,Novartis Pharmaceuticals,"Hospital Universitario Y Politecnico La Fe, València"
,CHRYSALIS,Janssen,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
745.0,CheckMate 76U,Bristol-Myers Squibb,"Clinica Universidad De Navarra, Pamplona/Iruña"
345.0,TACTI-002,Immutep S.A.S.,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
,TROPION-Lung02,AstraZeneca,"Hospital Universitari Vall D'Hebron, Barcelona"
1008.0,GO42501,HOFFMANN-LA ROCHE,"Hospital Universitario 12 De Octubre, Madrid"
168.0,IMbrella A,HOFFMANN-LA ROCHE,"Hospital Universitario La Paz, Madrid"
628.0,NP41300,HOFFMANN-LA ROCHE,"Clinica Universidad De Navarra, Madrid"
556.0,CheckMate73L,Bristol-Myers Squibb,"Hospital Clinico Universitario Lozano Blesa, Zaragoza"
168.0,IMbrella A,HOFFMANN-LA ROCHE,"Hospital General Universitario Gregorio Marañon, Madrid"
671.0,LIBRETTO-431,"Loxo Oncology, Inc.","Hospital Son Llatzer, Palma"
300.0,Replay,Grupo Español de Cáncer de Pulmón,"ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol, Badalona"
1508.0,D9570C00001,ASTRAZENECA,"Hospital Universitari Vall D'Hebron, Barcelona"
172.0,XL184-021,Exelixis,"Clinica Universidad De Navarra, Pamplona/Iruña"
,STARTRK-2,Hoffmann-La Roche,"Hospital Universitario La Paz, Madrid"
499.0,GCT1046-01,Genmab,"Hospital Universitario Regional De Malaga, Málaga"
252.0,CB103-C-101,Cellestia Biotech AG,"Hospital Universitario Ramon Y Cajal, Madrid"
,ALINA,Hoffmann-La Roche,"Hospital Universitario Donostia, Donostia-San Sebastián"
,NP41300,Hoffmann-La Roche,"Hospital Del Mar, Barcelona"
293.0,MK-3475-495/KEYNOTE-495,Merck Sharp & Dohme Corp.,"Hospital Universitario 12 De Octubre, Madrid"
,MAGELLAN,AstraZeneca,"Hospital Universitario Ramon Y Cajal, Madrid"
1035.0,GCT1042-01,Genmab,"Clinica Universidad De Navarra, Pamplona/Iruña"
19.0,SUMMIT,"Puma Biotechnology, Inc.","Hospital Universitario Fundacion Jimenez Diaz, Madrid"
227.0,Morpheus Lung,HOFFMANN-LA ROCHE,"Hospital Universitario La Paz, Madrid"
,B-FAST,Hoffmann-La Roche,"Hospital Universitario Virgen Del Rocio, Sevilla"
